Brand,grade,reviews,fragrance family,fragrance name,fragrance classification,volume,top notes,heart notes,base notes,gender,product form,year of launch,strength,sustainable,country of origin,ingredients
Prada,4.3,12,Floral,Prada Infusion De Fleur D'oranger,Prada,"Available in 50 ml, 100 ml, 200 ml and 251 ml","Orange blossom (Moroccan), Neroli","Jasmine (Sambac), Tuberose, Honey",Musks,Women,,2009,,,,
Perry Ellis,4.9,7,Bergamot,Perry Ellis 18 Orchid,Perry Ellis,Available in 100 ml,,,,Women,,,,,,
Lanvin,4.4,30,"Musk, Amber",Oxygene,Lanvin,"Available in 1 ml, 5 ml, 8 ml, 30 ml, 50 ml and 100 ml","Cypress, Coriander, Elemi","Myrtle, Artemisia (Armoise), Juniperberry","Cedarwood (Atlas), Hinoki wood, Musks (white)",Men,,2001,,,,
Creed,4.7,37,Citrus,Original Santal,Creed,"Available in 8 ml, 30 ml, 50 ml, 75 ml, 100 ml, 120 ml and 248 ml","Cinnamon, Sandalwood (Mysore), Coriander, Juniperberry","Lavender, Ginger, Orange tree wood, Rosemary","Musk (Tonkin), Tonka bean, Vanilla",Men,,2005,,,,
Elizabeth and James,4.0,7,Citrus,Nirvana French Grey,Elizabeth and James,"Available in 10 ml, 30 ml, 50 ml and 100 ml",,,,Men and Women,,2017,,,,
Nina Ricci,4.5,2,Bergamot,Nina Luna Blossom,Nina Ricci,"Available in 30 ml, 50 ml and 80 ml",,,,Women,,2016,,,,
Marina De Bourbon,4.4,37,fresh,Marina De Bourbon,Marina De Bourbon,"Available in 1 ml, 7 ml, 30 ml, 50 ml, 100 ml, 150 ml and 200 ml","Lemon, Marigold (Tagete), Blackcurrant buds (Cassis), Watermelon","Iris (Orris), Jasmine, Rose, Violet, Ylang-ylang, Passionfruit","Amber, Cistus labdanum (Rockrose), Tonka bean, Vanilla, Praline, Peach kernel, Raspberry",Women,,1994,,,,
Mancera,4.9,10,Jasmine,Mancera Black Gold,Mancera,Available in 100 ml and 120 ml,,,,Men,,2017,,,,
Dolce & Gabbana,3.9,21,Jasmine,Light Blue Sun,Dolce & Gabbana,Available in 125 ml,,,,Men,,2019,,,,
Lalique,4.3,16,Bergamot,Lalique Equus,Lalique,Available in 75 ml,,,,Men,,2001,,,,
Katy Perry,4.8,12,Floral,Katy Perry Mad Love,Katy Perry,"Available in 8 ml, 15 ml, 30 ml and 100 ml",,,,Women,,2016,,,,
Jo Malone,4.3,4,Jasmine,Jo Malone Wild Bluebell,Jo Malone,"Available in 8 ml, 30 ml and 100 ml",,,,Men and Women,,2011,,,,
Salvatore Ferragamo,4.1,15,Citrus,Incanto Bloom,Salvatore Ferragamo,"Available in 30 ml, 50 ml, 100 ml and 150 ml","Freesia, Grapefruit blossom","Champaca, Rose (Tea)","Woods (Cashmere), Musk",Women,,2010,,,,
Lionel Richie,,,,Hello By Lionel Richie,Lionel Richie,Available in 100 ml,,,,Men,,,,,,
Guess,4.6,7,Vanilla,Guess Night,Guess,"Available in 20 ml, 30 ml, 50 ml, 100 ml and 150 ml",,,,Men,,2013,,,,
Maison Francis Kurkdjian,,,Vanilla,Gentle Fluidity Silver,Maison Francis Kurkdjian,Available in 71 ml,,,,Men and Women,,2019,,,,
Maison Alhambra,5.0,1,,Galatea,Maison Alhambra,Available in 100 ml,,,,Women,,,,,,
Salvatore Ferragamo,4.4,7,Citrus,F Free Time,Salvatore Ferragamo,Available in 50 ml and 100 ml,"Cédrat, Lemon, Pepper (rose / pink)","Sea breeze accord, Cardamom, Ginger","Cedarwood (white), Vetiver, Musk",Men,,2011,,,,
Dr Teal's,4.8,4,,Dr Teal's Bath Oil Sooth & Sleep With Lavender,Dr Teal's,Available in 260 ml,,,,Women,,,,,,
Disney,4.8,8,Jasmine,Disney Princess Belle,Disney,Available in 50 ml and 100 ml,,,,Women,,,,,,
Christian Dior,4.8,31,Bergamot,Dioressence,Christian Dior,Available in 50 ml and 100 ml,"Bergamot, Neroli, Aldehydes","Geranium, Iris (Orris), Jasmine, Rose, Tuberose, Violet, Ylang-ylang, Cinnamon, Clove","Patchouli, Vetiver, Oakmoss, Musk, Benzoin, Styrax, Vanilla",Women,,1979,,,,
Diana Ross,4.9,15,fresh,Diamond Diana Ross,Diana Ross,Available in 10 ml and 100 ml,,,,Women,,2017,,,,
Desigual,4.3,6,Cedar,Desigual Fresh,Desigual,"Available in 1 ml, 50 ml and 100 ml",,,,Women,,2015,,,,
Dana,3.5,4,Jasmine,Chantilly Eau De Vie,Dana,Available in 50 ml and 240 ml,,,,Women,,2015,,,,
Banana Republic,4.0,8,Citrus,Banana Republic M,Banana Republic,"Available in 8 ml, 100 ml and 125 ml","Bergamot, Lime, Orange, Verbena","Sandalwood (white), Wet green leaves, Sage","Musk (white), Tonka bean",Men,,2009,,,,
Creed,4.5,10,Bergamot,Aventus Cologne,Creed,Available in 50 ml and 100 ml,,,,Men,,2010,,,,
Giorgio Armani,4.3,31,Bergamot,Armani Code Colonia,Giorgio Armani,"Available in 50 ml, 75 ml, 127 ml and 200 ml",,,,Men,,2017,,,,
Agent Provocateur,4.7,36,Floral,Agent Provocateur Maitresse,Agent Provocateur,"Available in 1 ml, 5 ml, 100 ml, 200 ml and 251 ml","Lotus flower, Ylang-ylang","Iris (Orris), Jasmine (Sambac), Osmanthus, Violet leaves","Cedarwood (Iso E Super), Suede (white), Amber, Musk",Women,,2006,,,,
